









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.1613467	0.1499331	0.1530686	0.157672	0.1640502	0.1391876	0.1348222	0.1806967	0.189808	0.2121622	0.2096421	0.2328471	0.2131809	0.1954492	0.2430018	0.2053734	0.1959869	0.177015	0.1638018	0.1707317	0.1572964	0.1063291	0.0849057	0.0815039	0.0633397	0.0693285	0.0687873	0.0696697	0.093692	0.1025862	0.1158983	0.1155896	0.0935	0.1093824	0.1260771	0.1306706	0.1323353	0.1418667	0.1333333	0.164966	0.1758454	0.169615	0.1781285	0.1789687	0.181601	0.1572482	0.1881378	0.1662971	
Mallard/Mexican Duck (<em class="sci">Anas platyrhynchos/diazi</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.199E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.1709663	0.1954485	0.1963899	0.2111111	0.2087912	0.1744325	0.1410256	0.2278665	0.1912851	0.202027	0.2096421	0.1896272	0.1748487	0.1511085	0.1328172	0.0883424	0.0760616	0.0539915	0.0404449	0.0499238	0.0491939	0.0336347	0.0269542	0.0244764	0.0284709	0.0381125	0.038171	0.042042	0.059833	0.0642241	0.0676433	0.0732845	0.082	0.0853371	0.0798186	0.0981262	0.1293413	0.1397333	0.1219858	0.1768707	0.1748792	0.1779396	0.1894025	0.182002	0.181601	0.1879607	0.1945153	0.174612	
Mallard x American Black Duck (hybrid) (<em class="sci">Anas platyrhynchos x rubripes</em>)	0.0091823	0.0120482	0.0151625	0.0121693	0.0141287	0.0101553	0.0090984	0.0123367	0.0177253	0.0135135	0.0109569	0.0102647	0.0067249	0.0064177	0.0041691	0.0050091	0.0037331	0.0026996	0.0013482	0.0032393	0.0041339	0.0015	0.0026954	0.0017663	6.398E-4	0.0021779	0.0015905	0.0018018	0.0027829	0.0025862	0.0051702	0.0039973	0.0035	0.0051862	0.0040816	0.0039448	0.0047904	0.0032	0.0042553	0.0034014	0.0077295	0.0072841	0.011274	0.0091001	0.0059737	0.0110565	0.0146684	0.0072062	
Mallard/American Black Duck (<em class="sci">Anas platyrhynchos/rubripes</em>)	0.0015	0.0033467	0.001444	5.291E-4	7.849E-4	0.0017921	0.0024814	7.257E-4	0.0022157	0.0013514	7.305E-4	0.0010805	0.00269	0.0	5.956E-4	0.0027322	9.333E-4	0.001157	0.0010111	3.811E-4	8.268E-4	0.0014467	0.0010108	7.57E-4	3.199E-4	0.0010889	0.0011928	9.009E-4	0.0018553	0.0021552	0.0021542	0.0016656	0.003	4.715E-4	0.0027211	0.0039448	0.002994	0.0016	0.0021277	0.0011338	9.662E-4	0.0010406	0.0011274	0.0020222	0.0	0.0	0.0019133	5.543E-4	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0030608	0.0107095	0.0064982	0.0111111	0.0102041	0.004779	0.0078577	0.011611	0.0088626	0.0087838	0.0109569	0.0102647	0.0033625	0.008168	0.0053603	0.0018215	0.0	0.0	0.0013482	1.905E-4	4.134E-4	0.001085	3.369E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018141	0.0024655	0.002994	0.0037333	0.0049645	0.0039683	0.0057971	0.0010406	0.0022548	0.0050556	0.0023895	0.0012285	0.0019133	0.0083149	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.0039353	0.0060241	0.0021661	0.0021164	0.0054945	0.0011947	4.136E-4	0.0050798	0.0088626	0.0047297	0.0051132	0.010805	0.0181574	0.0280047	0.0369267	0.0209472	0.0055996	0.0042422	6.741E-4	1.905E-4	6.201E-4	7.233E-4	0.0010108	2.523E-4	6.398E-4	7.26E-4	7.952E-4	3.003E-4	9.276E-4	8.621E-4	0.0034468	0.0096602	0.0155	0.0235738	0.0267574	0.0241617	0.0341317	0.0250667	0.0234043	0.0294785	0.0251208	0.0187305	0.011274	0.0060667	0.0011947	0.0061425	6.378E-4	0.001663	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.638E-4	0.0	0.0	0.0	0.0	0.0	9.07E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Redhead (<em class="sci">Aythya americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.0013118	0.0013387	7.22E-4	0.0	7.849E-4	0.0029869	8.271E-4	0.0043541	0.0169867	0.0236486	0.0146092	0.0513236	0.071957	0.054259	0.0619416	0.0491803	0.0209986	0.0084844	0.0010111	0.0022866	4.134E-4	0.003255	6.739E-4	0.0017663	0.0015995	0.0014519	7.952E-4	3.003E-4	9.276E-4	0.0012931	8.617E-4	0.0	0.0	4.715E-4	0.0031746	0.0014793	0.0023952	0.0090667	0.006383	0.0198413	0.0096618	0.012487	0.0124014	0.0101112	0.0167264	0.004914	0.002551	0.0011086	
Tufted Duck (<em class="sci">Aythya fuligula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.0048098	0.0066934	0.001444	0.0074074	0.0023548	0.0023895	0.0041356	0.0036284	0.0088626	0.0060811	0.0021914	0.0010805	0.0020175	0.0017503	0.0041691	0.0031876	4.666E-4	0.0015426	6.741E-4	0.0	0.0	0.0	0.0	0.0	3.199E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0E-4	4.715E-4	0.0	0.0	0.0023952	0.0015	0.0028369	0.0085034	0.0038647	0.0010406	0.0045096	0.0040445	0.0035842	0.004914	0.0012755	0.001663	
Lesser Scaup (<em class="sci">Aythya affinis</em>)	4.373E-4	6.693E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.006647	0.0040541	0.0	0.0010805	6.725E-4	0.0052509	0.0017868	0.0	0.0	0.0	3.37E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	5.333E-4	0.0014184	0.0022676	0.0019324	0.0031217	0.0011274	0.0	0.0011947	0.0012285	6.378E-4	0.0	
Greater/Lesser Scaup (<em class="sci">Aythya marila/affinis</em>)	0.0015	0.0013387	0.0	0.0015873	7.849E-4	0.0	0.0015	0.0	0.0015	0.0013514	7.305E-4	0.0010805	6.725E-4	5.834E-4	5.956E-4	9.107E-4	0.0	0.0	3.37E-4	3.811E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976	5.333E-4	0.0	5.669E-4	0.0	0.0010406	0.0011274	0.0	0.0	0.0012285	0.0	5.543E-4	
Aythya sp. (<em class="sci">Aythya sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.715E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King Eider (<em class="sci">Somateria spectabilis</em>)	0.0021863	0.0	7.22E-4	5.291E-4	0.0	5.974E-4	0.0057899	0.0065312	0.0044313	0.0027027	0.0058437	0.0010805	0.0020175	0.0	0.0015	4.554E-4	0.0	0.0015	6.741E-4	0.0	0.0015	3.617E-4	0.0026954	0.0020187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	5.333E-4	0.0	0.0017007	9.662E-4	0.0010406	0.0011274	0.0030334	0.0011947	0.002457	0.0057398	0.0044346	
Common Eider (<em class="sci">Somateria mollissima</em>)	0.240927	0.2449799	0.2425993	0.2349206	0.2080063	0.1636798	0.172043	0.2177068	0.1573117	0.1560811	0.1329438	0.1215559	0.1163416	0.1061844	0.099464	0.0878871	0.0989267	0.0960278	0.1368386	0.1511052	0.184167	0.1424955	0.143531	0.1541761	0.1397953	0.1644283	0.1634195	0.1804805	0.1938776	0.1887931	0.1848341	0.197535	0.1905	0.2112211	0.247619	0.2445759	0.2167665	0.2853333	0.2652482	0.2755102	0.2657005	0.2539022	0.2660654	0.2487361	0.2222222	0.2321867	0.2346939	0.2167406	
